"id","pmid","title","author","refrence","link"
"1001","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1002","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1003","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1004","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1005","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1006","17948260","Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques. ","Gómez-Ruiz JA1, Ramos M, Recio I","Electrophoresis. 2007 Nov;28(22):4202-11.","http://www.ncbi.nlm.nih.gov/pubmed?term=17948260"
"1007","1007_link","Vascular effects and antihypertensive properties of k-casein macropeptide","Miguel, Marta; Manso, Maria, A.; Lopez-Fandino, Rosina; Alonso, Maria, J.; Salaices, Mercedes","International Dairy Journal 17(12): 1473-1477","http://www.deepdyve.com/lp/elsevier/vascular-effects-and-antihypertensive-properties-of-casein-0kS2bwE7MC"
"1008","17466121","Effect of simulated gastrointestinal digestion on the antihypertensive properties of synthetic beta-lactoglobulin peptide sequences.","Hernández-Ledesma B1, Miguel M, Amigo L, Aleixandre MA, Recio I.","J Dairy Res. 2007 Aug;74(3):336-9. Epub 2007 Apr 30.","http://www.ncbi.nlm.nih.gov/pubmed?term=17466121"
"1009","17466121","Effect of simulated gastrointestinal digestion on the antihypertensive properties of synthetic beta-lactoglobulin peptide sequences.","Hernández-Ledesma B1, Miguel M, Amigo L, Aleixandre MA, Recio I.","J Dairy Res. 2007 Aug;74(3):336-9. Epub 2007 Apr 30.","http://www.ncbi.nlm.nih.gov/pubmed?term=17466121"
"1010","1010_link","Angiotensin I-Converting Enzyme Inhibitory Peptides of Chia (Salvia hispanica) Produced by Enzymatic Hydrolysis","Maira Rubi Segura Campos, Fanny Peralta González, Luis Chel Guerrero, and David Betancur Ancona","International Journal of Food Science Volume 2013 (2013), Article ID 158482, 8 pages","http://www.hindawi.com/journals/ijfs/2013/158482/"
"1011","1011_link","Angiotensin I-Converting Enzyme Inhibitory Peptides of Chia (Salvia hispanica) Produced by Enzymatic Hydrolysis","Maira Rubi Segura Campos, Fanny Peralta González, Luis Chel Guerrero, and David Betancur Ancona","International Journal of Food Science Volume 2013 (2013), Article ID 158482, 8 pages","http://www.hindawi.com/journals/ijfs/2013/158482/"
"1012","1012_link","Angiotensin I-Converting Enzyme Inhibitory Peptides of Chia (Salvia hispanica) Produced by Enzymatic Hydrolysis","Maira Rubi Segura Campos, Fanny Peralta González, Luis Chel Guerrero, and David Betancur Ancona","International Journal of Food Science Volume 2013 (2013), Article ID 158482, 8 pages","http://www.hindawi.com/journals/ijfs/2013/158482/"
"1013","1013_link","Angiotensin I-Converting Enzyme Inhibitory Peptides of Chia (Salvia hispanica) Produced by Enzymatic Hydrolysis","Maira Rubi Segura Campos, Fanny Peralta González, Luis Chel Guerrero, and David Betancur Ancona","International Journal of Food Science Volume 2013 (2013), Article ID 158482, 8 pages","http://www.hindawi.com/journals/ijfs/2013/158482/"
"1014","24224169","Effect of Jatropha curcas Peptide Fractions on the Angiotensin I-Converting Enzyme Inhibitory Activity","Maira R. Segura-Campos, Fanny Peralta-González, Arturo Castellanos-Ruelas, Luis A. Chel-Guerrero, and David A. Betancur-Ancona","BioMed Research International Volume 2013 (2013), Article ID 541947, 8 pages","http://www.ncbi.nlm.nih.gov/pubmed?term=24224169"
"1015","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1016","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
"1017","24215325","Novel angiotensin I-converting enzyme inhibitory peptides derived from an edible mushroom, Pleurotus cystidiosus O.K. Miller identified by LC-MS/MS","Ching Ching Lau1, Noorlidah Abdullah1* and Adawiyah Suriza Shuib","BMC Complementary and Alternative Medicine 2013, 13:313 ","http://www.ncbi.nlm.nih.gov/pubmed?term=24215325"
